filename,width,height,class,xmin,ymin,xmax,ymax
248_day_outside.jpg,640,480,hole,7,365,138,449
248_day_outside.jpg,640,480,hole,131,293,194,324
248_day_outside.jpg,640,480,hole,301,186,336,194
248_day_outside.jpg,640,480,hole,302,196,328,200
248_day_outside.jpg,640,480,hole,323,177,343,184
900_day_outside.jpg,2016,4032,hole,393,2161,1182,2775
900_day_outside.jpg,2016,4032,hole,341,1879,566,1976
900_day_outside.jpg,2016,4032,hole,7,1818,290,1981
900_day_outside.jpg,2016,4032,hole,807,1999,1056,2113
900_day_outside.jpg,2016,4032,hole,770,1797,941,1883
900_day_outside.jpg,2016,4032,hole,459,1665,782,1738
900_day_outside.jpg,2016,4032,hole,507,1770,732,1844
900_day_outside.jpg,2016,4032,hole,994,1658,1247,1744
991_day_outside.jpg,2016,4032,hole,689,2436,1154,2632
991_day_outside.jpg,2016,4032,hole,1122,2373,1599,2494
991_day_outside.jpg,2016,4032,hole,876,2265,1522,2347
437_day_outside.JPG,3264,2448,hole,1745,1442,1868,1469
437_day_outside.JPG,3264,2448,hole,1773,1495,1838,1518
437_day_outside.JPG,3264,2448,hole,1552,1541,1645,1567
437_day_outside.JPG,3264,2448,hole,1542,1937,1803,2061
974_day_outside.jpg,2016,4032,hole,1,3809,183,4032
974_day_outside.jpg,2016,4032,hole,790,2689,1133,2883
993_day_outside.jpg,2016,4032,hole,1591,2708,1952,2983
993_day_outside.jpg,2016,4032,hole,779,2193,1094,2244
993_day_outside.jpg,2016,4032,hole,704,2252,898,2307
993_day_outside.jpg,2016,4032,hole,542,2130,993,2193
388_day_outside.jpg,640,480,hole,1,418,232,480
388_day_outside.jpg,640,480,hole,171,280,263,326
388_day_outside.jpg,640,480,hole,210,248,265,270
826_day_outside.jpg,1080,1920,hole,497,1054,617,1171
826_day_outside.jpg,1080,1920,hole,725,768,763,791
826_day_outside.jpg,1080,1920,hole,613,749,651,788
826_day_outside.jpg,1080,1920,hole,575,753,607,788
819_day_outside.jpg,1080,1920,hole,588,1086,1080,1639
819_day_outside.jpg,1080,1920,hole,338,1118,429,1201
819_day_outside.jpg,1080,1920,hole,550,626,798,671
819_day_outside.jpg,1080,1920,hole,913,735,946,758
532_day_outside.jpg,2016,4032,hole,598,1946,1061,2385
532_day_outside.jpg,2016,4032,hole,833,2647,1196,3597
532_day_outside.jpg,2016,4032,hole,448,2396,848,2631
532_day_outside.jpg,2016,4032,hole,963,1826,1035,1904
532_day_outside.jpg,2016,4032,hole,847,1674,1035,1831
568_day_outside.jpg,2016,4032,hole,1246,2741,1777,3141
292_day_outside.jpg,640,480,hole,245,263,288,279
292_day_outside.jpg,640,480,hole,148,345,213,371
292_day_outside.jpg,640,480,hole,225,297,266,305
658_day_outside.jpg,1080,1920,hole,1,1433,397,1835
658_day_outside.jpg,1080,1920,hole,738,1015,1080,1277
658_day_outside.jpg,1080,1920,hole,388,630,467,674
658_day_outside.jpg,1080,1920,hole,544,822,870,924
658_day_outside.jpg,1080,1920,hole,497,793,564,837
658_day_outside.jpg,1080,1920,hole,351,684,386,699
868_day_outside.jpg,2016,4032,hole,758,2487,1388,2987
303_day_outside.jpg,640,480,hole,211,302,276,326
512_day_outside.jpg,2016,4032,hole,330,2404,1252,3460
512_day_outside.jpg,2016,4032,hole,698,1765,882,1896
512_day_outside.jpg,2016,4032,hole,636,1650,824,1719
512_day_outside.jpg,2016,4032,hole,781,1023,885,1059
578_day_outside.jpg,2016,4032,hole,782,2308,1190,2654
298_day_outside.jpg,640,480,hole,125,428,186,448
298_day_outside.jpg,640,480,hole,201,410,263,427
298_day_outside.jpg,640,480,hole,264,334,334,341
298_day_outside.jpg,640,480,hole,199,428,374,480
761_day_outside.jpg,1080,1920,hole,501,602,721,738
761_day_outside.jpg,1080,1920,hole,634,797,905,945
622_day_outside.jpg,2016,4032,hole,765,2476,942,2613
622_day_outside.jpg,2016,4032,hole,594,2238,728,2320
558_day_outside.jpg,1080,1920,hole,739,1177,926,1280
558_day_outside.jpg,1080,1920,hole,577,1065,809,1121
558_day_outside.jpg,1080,1920,hole,902,1037,1066,1064
558_day_outside.jpg,1080,1920,hole,104,991,332,1029
558_day_outside.jpg,1080,1920,hole,731,1114,897,1179
246_day_outside.jpg,640,480,hole,39,404,149,453
246_day_outside.jpg,640,480,hole,152,367,227,411
246_day_outside.jpg,640,480,hole,206,345,298,368
802_day_outside.jpg,1080,1920,hole,75,811,231,847
739_day_outside.jpg,2016,4032,hole,218,2545,842,2807
739_day_outside.jpg,2016,4032,hole,554,2242,1094,2399
739_day_outside.jpg,2016,4032,hole,1483,2289,1650,2333
163_day_outside.jpg,640,480,hole,1,374,241,452
163_day_outside.jpg,640,480,hole,78,288,328,362
163_day_outside.jpg,640,480,hole,214,235,349,270
163_day_outside.jpg,640,480,hole,396,275,436,302
163_day_outside.jpg,640,480,hole,449,258,474,267
757_day_outside.jpg,1080,1920,hole,145,795,308,847
757_day_outside.jpg,1080,1920,hole,450,738,601,766
757_day_outside.jpg,1080,1920,hole,339,743,423,761
757_day_outside.jpg,1080,1920,hole,439,831,614,874
757_day_outside.jpg,1080,1920,hole,560,791,723,820
757_day_outside.jpg,1080,1920,hole,908,934,1062,980
757_day_outside.jpg,1080,1920,hole,978,975,1080,1076
592_day_outside.jpg,1080,1920,hole,1,1508,463,1733
592_day_outside.jpg,1080,1920,hole,553,1168,908,1231
592_day_outside.jpg,1080,1920,hole,208,908,374,994
592_day_outside.jpg,1080,1920,hole,499,1307,864,1480
592_day_outside.jpg,1080,1920,hole,591,1490,888,1585
592_day_outside.jpg,1080,1920,hole,873,1392,1080,1459
592_day_outside.jpg,1080,1920,hole,361,1094,577,1206
592_day_outside.jpg,1080,1920,hole,95,798,211,847
592_day_outside.jpg,1080,1920,hole,38,728,110,762
592_day_outside.jpg,1080,1920,hole,82,771,133,787
399_day_outside.jpg,640,480,hole,464,337,640,480
399_day_outside.jpg,640,480,hole,465,303,547,334
399_day_outside.jpg,640,480,hole,429,269,499,290
312_day_outside.jpg,640,480,hole,278,425,311,439
312_day_outside.jpg,640,480,hole,234,402,333,416
312_day_outside.jpg,640,480,hole,198,321,278,334
616_day_outside.jpg,1080,1920,hole,268,654,530,869
